"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","6","10","18","24","38","82","128","188","265","321","382","503","503","804","959","1135","1413","1705","2051","2460","2994","3631","4204","4749","5560","6412","7431","8603","9762","10866","11750","12595","13614","14697","15723","16627","17851","18803"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","3","4","5","5","10","12","20","24","43","58","76","106","136","179","213","276","356","434","546","639","771","864","1039","1173","1339","1487","1651","1766","1867"
"2020-01-22T00:00:00Z","2020-01-23T00:00:00Z","2020-01-24T00:00:00Z","2020-01-25T00:00:00Z","2020-01-26T00:00:00Z","2020-01-27T00:00:00Z","2020-01-28T00:00:00Z","2020-01-29T00:00:00Z","2020-01-30T00:00:00Z","2020-01-31T00:00:00Z","2020-02-01T00:00:00Z","2020-02-02T00:00:00Z","2020-02-03T00:00:00Z","2020-02-04T00:00:00Z","2020-02-05T00:00:00Z","2020-02-06T00:00:00Z","2020-02-07T00:00:00Z","2020-02-08T00:00:00Z","2020-02-09T00:00:00Z","2020-02-10T00:00:00Z","2020-02-11T00:00:00Z","2020-02-12T00:00:00Z","2020-02-13T00:00:00Z","2020-02-14T00:00:00Z","2020-02-15T00:00:00Z","2020-02-16T00:00:00Z","2020-02-17T00:00:00Z","2020-02-18T00:00:00Z","2020-02-19T00:00:00Z","2020-02-20T00:00:00Z","2020-02-21T00:00:00Z","2020-02-22T00:00:00Z","2020-02-23T00:00:00Z","2020-02-24T00:00:00Z","2020-02-25T00:00:00Z","2020-02-26T00:00:00Z","2020-02-27T00:00:00Z","2020-02-28T00:00:00Z","2020-02-29T00:00:00Z","2020-03-01T00:00:00Z","2020-03-02T00:00:00Z","2020-03-03T00:00:00Z","2020-03-04T00:00:00Z","2020-03-05T00:00:00Z","2020-03-06T00:00:00Z","2020-03-07T00:00:00Z","2020-03-08T00:00:00Z","2020-03-09T00:00:00Z","2020-03-10T00:00:00Z","2020-03-11T00:00:00Z","2020-03-12T00:00:00Z","2020-03-13T00:00:00Z","2020-03-14T00:00:00Z","2020-03-15T00:00:00Z","2020-03-16T00:00:00Z","2020-03-17T00:00:00Z","2020-03-18T00:00:00Z","2020-03-19T00:00:00Z","2020-03-20T00:00:00Z","2020-03-21T00:00:00Z","2020-03-22T00:00:00Z","2020-03-23T00:00:00Z","2020-03-24T00:00:00Z","2020-03-25T00:00:00Z","2020-03-26T00:00:00Z","2020-03-27T00:00:00Z","2020-03-28T00:00:00Z","2020-03-29T00:00:00Z","2020-03-30T00:00:00Z","2020-03-31T00:00:00Z","2020-04-01T00:00:00Z","2020-04-02T00:00:00Z","2020-04-03T00:00:00Z","2020-04-04T00:00:00Z","2020-04-05T00:00:00Z","2020-04-06T00:00:00Z"
"22 Jan 2020","23 Jan 2020","24 Jan 2020","25 Jan 2020","26 Jan 2020","27 Jan 2020","28 Jan 2020","29 Jan 2020","30 Jan 2020","31 Jan 2020","01 Feb 2020","02 Feb 2020","03 Feb 2020","04 Feb 2020","05 Feb 2020","06 Feb 2020","07 Feb 2020","08 Feb 2020","09 Feb 2020","10 Feb 2020","11 Feb 2020","12 Feb 2020","13 Feb 2020","14 Feb 2020","15 Feb 2020","16 Feb 2020","17 Feb 2020","18 Feb 2020","19 Feb 2020","20 Feb 2020","21 Feb 2020","22 Feb 2020","23 Feb 2020","24 Feb 2020","25 Feb 2020","26 Feb 2020","27 Feb 2020","28 Feb 2020","29 Feb 2020","01 Mar 2020","02 Mar 2020","03 Mar 2020","04 Mar 2020","05 Mar 2020","06 Mar 2020","07 Mar 2020","08 Mar 2020","09 Mar 2020","10 Mar 2020","11 Mar 2020","12 Mar 2020","13 Mar 2020","14 Mar 2020","15 Mar 2020","16 Mar 2020","17 Mar 2020","18 Mar 2020","19 Mar 2020","20 Mar 2020","21 Mar 2020","22 Mar 2020","23 Mar 2020","24 Mar 2020","25 Mar 2020","26 Mar 2020","27 Mar 2020","28 Mar 2020","29 Mar 2020","30 Mar 2020","31 Mar 2020","01 Apr 2020","02 Apr 2020","03 Apr 2020","04 Apr 2020","05 Apr 2020","06 Apr 2020","07 Apr 2020","08 Apr 2020","09 Apr 2020","10 Apr 2020","11 Apr 2020","12 Apr 2020","13 Apr 2020","14 Apr 2020","15 Apr 2020","16 Apr 2020","17 Apr 2020","18 Apr 2020","19 Apr 2020","20 Apr 2020","21 Apr 2020","22 Apr 2020","23 Apr 2020","24 Apr 2020","25 Apr 2020","26 Apr 2020","27 Apr 2020","28 Apr 2020","29 Apr 2020","30 Apr 2020","01 May 2020","02 May 2020","03 May 2020","04 May 2020","05 May 2020","06 May 2020","07 May 2020","08 May 2020","09 May 2020","10 May 2020","11 May 2020","12 May 2020","13 May 2020","14 May 2020","15 May 2020","16 May 2020","17 May 2020","18 May 2020","19 May 2020","20 May 2020","21 May 2020","22 May 2020","23 May 2020","24 May 2020","25 May 2020","26 May 2020","27 May 2020","28 May 2020","29 May 2020","30 May 2020","31 May 2020","01 Jun 2020","02 Jun 2020","03 Jun 2020","04 Jun 2020","05 Jun 2020","06 Jun 2020","07 Jun 2020","08 Jun 2020","09 Jun 2020","10 Jun 2020","11 Jun 2020","12 Jun 2020","13 Jun 2020","14 Jun 2020","15 Jun 2020","16 Jun 2020","17 Jun 2020","18 Jun 2020","19 Jun 2020","20 Jun 2020","21 Jun 2020","22 Jun 2020","23 Jun 2020","24 Jun 2020","25 Jun 2020","26 Jun 2020","27 Jun 2020","28 Jun 2020","29 Jun 2020","30 Jun 2020","01 Jul 2020","02 Jul 2020","03 Jul 2020","04 Jul 2020","05 Jul 2020","06 Jul 2020","07 Jul 2020","08 Jul 2020","09 Jul 2020","10 Jul 2020","11 Jul 2020","12 Jul 2020","13 Jul 2020","14 Jul 2020","15 Jul 2020"
"N","e","t","h","e","r","l","a","n","d","s"
